Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Afghanistan,AFG,0.213449805,0.03850634,0.241722682,0.293836994,0.412016938,0.350370581,0.315601773,0.299444991,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Albania,ALB,1.678106654,0.978174681,1.495600199,1.578573584,1.803714725,1.692908325,1.749211079,1.978763312,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Algeria,DZA,2.970409071,2.817543547,3.423011434,3.299703688,3.291376176,3.46026581,3.507310029,3.717409901,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Andorra,AND,7.467335669,8.019284294,6.121652341,6.122594702,5.867129945,5.916596911,5.900752587,5.832169951,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Angola,AGO,0.420284254,0.580352661,1.232494515,1.243405585,1.252789255,1.330843018,1.254617218,1.291328315,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Antigua and Barbuda,ATG,4.23352225,4.123971095,5.446757355,5.539567509,5.363407474,5.418446532,5.360453467,5.377648546,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Argentina,ARG,3.426481983,3.835573665,4.410889894,4.558499612,4.600290699,4.569383676,4.462903755,4.746797455,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Armenia,ARM,..,1.128918604,1.509411878,1.465621895,1.710070765,1.976060074,1.899711734,1.90275891,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Aruba,ABW,26.37450321,26.19487524,25.91583295,24.67052887,24.5058352,13.15554169,8.351294252,8.408362638,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Australia,AUS,15.45288167,17.20060983,18.20018196,17.74084505,17.53887776,17.07290468,16.09583317,15.38876602,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Austria,AUT,7.513246156,7.774259739,7.518751102,8.071131802,7.748134305,7.387077163,7.368748145,6.86986793,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Azerbaijan,AZE,..,3.666271029,3.565668218,3.388225879,3.646179877,3.82487717,3.785068836,3.931560609,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,"Bahamas, The",BHS,7.6104956,5.60101044,4.629528598,4.583343495,5.091832893,5.292937031,7.426540134,6.323257512,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bahrain,BHR,25.05885496,28.05091075,23.81170841,23.5854809,22.41333475,20.51485098,23.80435697,23.44975483,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bangladesh,BGD,0.146281294,0.211802225,0.357158767,0.393936699,0.412011186,0.433487963,0.442400828,0.459141965,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Barbados,BRB,4.126491124,4.402894974,5.807257514,5.285997375,5.449513722,5.222107001,5.127146392,4.490177673,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Belarus,BLR,..,5.389745291,6.439684267,6.64269666,6.762517349,6.67999159,6.736652251,6.701957705,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Belgium,BEL,10.63967167,11.2296677,9.249615685,10.17146522,9.054330011,8.56287875,8.689543091,8.328159898,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Belize,BLZ,1.66191243,1.601342418,1.868957631,1.676105694,1.82686092,1.415825911,1.491598897,1.407601494,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Benin,BEN,0.142157591,0.232860969,0.521063185,0.553283259,0.559693354,0.562347006,0.580960914,0.614213852,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bermuda,BMU,8.468108418,8.36199117,7.262934975,9.347122413,6.872359209,7.356862866,7.051814587,8.838314988,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bhutan,BTN,0.238879169,0.690660881,0.544051575,0.67026322,0.990398509,1.086025018,1.203220818,1.289321371,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bolivia,BOL,0.839700279,1.327056787,1.433545061,1.532870644,1.602029322,1.835469055,1.818997383,1.932419499,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Bosnia and Herzegovina,BIH,..,3.66047151,5.526103005,5.716134832,6.475389585,6.101280083,6.080813337,6.234719162,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Botswana,BWA,1.9613582,2.187461379,1.900285977,2.325924404,2.036091061,2.025409285,2.456718254,3.243287637,..,..,..,..
CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,Brazil,BRA,1.398620609,1.871118313,1.883811784,2.132937571,2.211587235,2.343570115,2.488417184,2.594388285,..,..,..,..
